CON LA CAPACITÀ DI LEGGERE NELLA MENTE, PREVEDE I PERICOLI E SI TELETRASPORTA IN UN LUOGO SICURO.
DORME 18 ORE AL GIORNO, MA SE PERCEPISCE UN PERICOLO SI TELETRASPORTA AL SICURO.
ABRA DORME PER 18 ORE AL GIORNO, MA RIESCE A CAPTARE LA PRESENZA DEI NEMICI ANCHE DURANTE IL SONNO. IN QUESTO CASO IL POKÉMON SI TELETRASPORTA IMMEDIATAMENTE AL SICURO.
ABRA HA BISOGNO DI 18 ORE DI SONNO AL GIORNO. IN CASO CONTRARIO PERDE LE SUE ABILITÀ TELECINETICHE. SE ATTACCATO, ABRA FUGGE USANDO TELETRASPORTO MENTRE DORME.
DORME 18 ORE AL GIORNO. ANCHE DA ADDORMENTATO UTILIZZA UNA SERIE DI POTERI EXTRASENSORIALI.
DORME PER 18 ORE AL GIORNO. ANCHE DA SVEGLIO, SI TELETRASPORTA RIMANENDO SEDUTO.
ANCHE MENTRE DORME TIENE ATTIVO IL RADAR TELEPATICO. SI TELETRASPORTA QUANDO SI SENTE MINACCIATO.
DORME 18 ORE AL GIORNO. ANCHE NEL SONNO, SI TELETRASPORTA SUGLI ALBERI, COGLIE LE BACCHE E LE MANGIA.
PUÒ USARE I SUOI POTERI PSICHICI ANCHE MENTRE DORME. PER QUESTO È DIFFICILE CAPIRE SE È SVEGLIO OPPURE NO.
GRAZIE ALLA SUA CAPACITÀ DI LEGGERE NEL PENSIERO, PREVEDE IL PERICOLO E SI TELETRASPORTA LONTANO. PER CATTURARLO BISOGNA SVUOTARE LA MENTE.
DORME 18 ORE AL GIORNO. SE PERCEPISCE UN PERICOLO, RIESCE A TELETRASPORTARSI ANCHE SENZA SVEGLIARSI.
